title,Women's Mules & Clogs1,Women's Mules & Clogs2,Men's Mules & Clogs1,Men's Mules & Clogs2,women1,women2,men1,men2
"Crocs Unisex Men's and Women's Classic Clog, Orchid, 12 US",3,2,184,151,3,9,63,55
"Crocs Unisex Men's and Women's Classic Clog, Deep Green, 7 US",57,251,99,214,16,17,44,36
"Crocs Unisex Men's and Women's Classic Clog, Army Green, 16 US",604,581,155,198,31,14,74,23
crocs Women's Classic Mule Ballerina Pink - 6 US Men/ 8 US Women M US,3,3,55,77,20,11,29,132
"Crocs Unisex Men's and Women's Classic Clog, Lime Zest, 11 US",2,3,138,185,15,6,14,15
"Crocs Unisex Men's and Women's Classic Clog, Pepper, 4 US",22,2,334,301,26,15,306,45
crocs Women's Classic Mule Ice Blue - 6 B(M) US Women / 4 D(M) US Men,6,2,48,59,8,10,23,490
"Crocs Unisex Men's and Women's Classic Clog, Neon Purple, 11 US",24,35,137,135,12,7,23,34
"Crocs Unisex Men's and Women's Classic Clog, Fresco, 9 US",2,2,23,36,15,10,16,9
"Crocs Unisex Men's and Women's Classic Clog, Lime Punch, 14 US",3,1,56,154,12,8,46,49
"Crocs Unisex Men's and Women's Classic Clog, Black, 18 US",39,3,36,89,25,38,467,259
"Crocs Unisex Men's and Women's Classic Clog, Lemon, 6 US",9227,9048,242,38,3,2,3643,8834
"Crocs Unisex Men's and Women's Classic Clog, Navy, 6 US",53,38,73,38,42,45,587,2513
"Ecolution Original Microwave Micro-Pop Popcorn Popper Borosilicate Glass, 3-in-1 Silicone Lid, Dishwasher Safe, BPA Free, 3 Quart Family Size, Red",11,17,9,13,105,309,86,3988
"Crocs Unisex Men's and Women's Classic Clog, Khaki, 8 US",2,3,257,11,1,2,275,23
"Crocs Unisex Men's and Women's Classic Clog, Evergreen, 8 US",13,35,114,416,11,9,572,968
"Crocs Unisex Men's and Women's Classic Clog, Neon Purple, 10 US",32,11,33,191,7,8,1357,168
