text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:40:56,FALSE,NA,1441940819875926021""",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",micuentaepn,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:40:50,FALSE,NA,1441940796102565894""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",max_bello_m,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:40:49,FALSE,NA,1441940792403120133""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",deathwater13,315,TRUE,FALSE,NA,NA,,,,,,,,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:40,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",nolovelina,20623,TRUE,FALSE,NA,NA,
"RT @WorldwideCarats: [INFO] US/PR Carats, you can now pre-order Attacca via Seventeen US online store, Weverse US shop, Target, Amazon, &amp; B?,FALSE,0,NA,2021-09-26 01:40:10,FALSE,NA,1441940627231498241""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Immael_16,119,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:40:07,FALSE,NA,1441940617206984705""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MiltonBGomes,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @WSJ: CVS, Home Depot, Ulta and Target all have something in common. They’re struggling to keep up with organized crime rings stealing f?,FALSE,0,NA,2021-09-26 01:40:06,FALSE,NA,1441940610542276608""",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",NewsAlternative,5723,TRUE,FALSE,NA,NA,,,,,,,,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:39,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Meknimmm,20623,TRUE,FALSE,NA,NA,
"RT @_nasminn: Online shopping <U+0001F495><U+0001F60D><U+0001F970><U+0001F618>&gt;&gt;
Returning items <U+0001F92E><U+0001F62D><U+0001F922><U+0001F915>&lt;&lt;&lt;",FALSE,0,NA,9/26/2021 1:39,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ririmusee,48,TRUE,FALSE,NA,NA,
"#NintendoSwitchDeal #VideoGamesDeal 

See \Nintendo Switch Lite Turquoise with Animal Crossing: New Horizons and Ni?https://t.co/jk7TGmcljV""",FALSE,0,NA,9/26/2021 1:39,TRUE,NA,1.44E+18,NA,"<a href=\https://twitter.com/amazondeals_ind\"" rel=\""nofollow\"">Amazon Offers Tweets</a>""",AmazonDeals_IND,0,FALSE,FALSE,NA,NA,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:39:08,FALSE,NA,1441940369587912708""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",M_ngel_,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:38:51,FALSE,NA,1441940295587799041""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",TheOneAngels,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:38:11,FALSE,NA,1441940129682239492""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",dhighl5184,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:38:09,FALSE,NA,1441940122572767240""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",LLioness30,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:37:33,FALSE,NA,1441939970306936837""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",tomo1365244_bts,315,TRUE,FALSE,NA,NA,,,,,,,,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:37,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",armarria,20623,TRUE,FALSE,NA,NA,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:37:18,FALSE,NA,1441939906104680453""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",kingHandsome111,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:37:13,FALSE,NA,1441939886878052357""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ViggoMorten1020,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:36:52,FALSE,NA,1441939798659198978""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Coldplayer_TH,315,TRUE,FALSE,NA,NA,,,,,,,,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:36,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JaslynneT,20623,TRUE,FALSE,NA,NA,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:36:20,FALSE,NA,1441939661925007366""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",JuanfedericoD,315,TRUE,FALSE,NA,NA,,,,,,,,
#online #onlinemarketing #marketing #digitalmarketing #affiliatemarketing Check my #website #makemoney #earnmoney?https://t.co/tnNh2tUEuS,FALSE,0,NA,9/26/2021 1:36,TRUE,NA,1.44E+18,NA,"<a href=\https://contentstudio.io\"" rel=\""nofollow\"">ContentStudio.io</a>""",bmurphypointman,0,FALSE,FALSE,NA,NA,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:35:57,FALSE,NA,1441939566856790018""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",luisauribe_15,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:35:57,FALSE,NA,1441939565564989441""",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",iw18405015,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:35:49,FALSE,NA,1441939532484538374""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Thanos72026687,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @RichardHeartWin: For those of you defending your #stonks or #cryptocurrency. Cheat sheet!
Pyramids require levels with commission.
Ponz?,FALSE,0,NA,2021-09-26 01:35:36,FALSE,NA,1441939480731164680""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",HexFamily,56,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:34:42,FALSE,NA,1441939252024004611""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",pawanyadav8,315,TRUE,FALSE,NA,NA,,,,,,,,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:34,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",soraiaoliveirah,20623,TRUE,FALSE,NA,NA,
..... And the toys keep coming today (way too much online shopping lately). The Firefly Dynamic Tuning Device. <U+0001F941><U+0001F918><U+0001F3FD>?https://t.co/6suyrnKzUQ,FALSE,0,NA,9/26/2021 1:34,TRUE,NA,1.44E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",DeBizNest,0,FALSE,FALSE,-76.89848,38.8881,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:34:29,FALSE,NA,1441939200199340042""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",cissaaranda,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com?,FALSE,0,NA,2021-09-26 01:34:20,FALSE,NA,1441939161854869513""",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",KylieV66894637,315,TRUE,FALSE,NA,NA,,,,,,,,
"RT @WSJ: CVS, Home Depot, Ulta and Target all have something in common. They’re struggling to keep up with organized crime rings stealing f?,FALSE,0,NA,2021-09-26 01:33:46,FALSE,NA,1441939017642266625""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",g23ab,5723,TRUE,FALSE,NA,NA,,,,,,,,
Why am I shopping online for new wine glasses when I know damn well I can’t drink for another 7 months @UncannySnow <U+0001F605>,FALSE,1,NA,9/26/2021 1:32,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KmbrLee24,0,FALSE,FALSE,NA,NA,
"RT @WorldwideCarats: [INFO] US/PR Carats, you can now pre-order Attacca via Seventeen US online store, Weverse US shop, Target, Amazon, &amp; B?,FALSE,0,NA,2021-09-26 01:30:53,FALSE,NA,1441938293373947906""",NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",xuselca,119,TRUE,FALSE,NA,NA,,,,,,,,
