asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
B07K8YDCZQ,Crocs,SHOES,1,1.04496732,0.974480861,0.986392811,0.995575221,1.002614379,1.004172099,1.002077382,0.999740866,0.999740798,1.036816178,0.962990748,1.023630226,0.976407915,1.003117693,1.008806009,0.994351733,0.993803253,1.003117693,1.008806009,up
B005PQQ37I,Crocs,SHOES,1.059411943,1,1,1.001144492,0.792512146,1.261810314,0.971706202,0.970588235,0.96969697,0.811875,0.962663587,1.010395842,0.912148793,0.947505423,1.561813187,1.024626209,0.960515021,0.888293119,0.943661972,0.994314144,down
B000R05PE4,Crocs,SHOES,1,,,,,,,,,,,,,,,,,,,,down
B099C5G3NY,,ABIS_MUSIC,0.875821768,1.275229358,0.784172662,1.275229358,0.784172662,1.275229358,0.784172662,1.275229358,0.784172662,1.275229358,0.784172662,1.200166806,0.833217512,1.200166806,0.833217512,1.200166806,0.694232106,1.44044044,0.694232106,1.44044044,up
B086R7CSR8,Ecolution,POPCORN_POPPER,1,1,0.996920708,0.98996139,0.999219969,0.989071038,1.025256511,0.955350269,1.00886382,0.999201278,1.038369305,0.982294072,0.999216301,1.018823529,0.967667436,0.99363564,1.01521217,0.977129338,1.016949153,1.003968254,down
B086R73N64,Ecolution,POPCORN_POPPER,0.799919968,1,1,1,1,1,1,1,1,1,1,1,0.988494247,1.00354251,0.984367121,1.003586066,1.019397652,0.980470706,1.006639428,1.014205987,down
B08L8C4VXM,Ecolution,POPCORN_POPPER,1,0.968984492,1.03200826,0.967483742,0.992761117,1.0046875,1.036288232,0.978989495,1.021461421,0.988994497,0.991401113,1.015306122,1.00201005,1.002507523,0.986493247,0.989350913,0.995899539,1.02882141,0.99949975,1.000500501,same
B07N23XGSQ,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,0.904717854,0.561349693,1.091074681,1,1,,,,,,,,,,,,,,,,same
B000MFN8B6,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,1.28277635,1.653306613,0.471515152,1.025706941,1.250626566,0.995991984,0.782696177,1.267352185,0.969574037,0.813807531,0.850899743,1.175226586,0.964010283,1.037333333,0.848329049,1.178787879,0.850899743,1.175226586,0.850899743,1.175226586,same
B083LF82H9,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,1,1,1,1,1,1,1,1,1,1,1,1.091074681,1,1,1,0.916527546,1.091074681,0.916527546,1.091074681,0.916527546,same
B07QY2Q7N4,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,1.633281972,0.517924528,1.091074681,1,1,1,1,1,1,1,1,,,,,,,,,,same
B083LML2N3,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,1,1,1,1,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,1.083472454,0.922958398,same
