asin,brand,type,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9
B07JBS59X1,Gildan,SHIRT,1,0.687929956,1.453636364,0.687929956,0.954545455,1.618095238,1,1,1,1
B09315H9L3,Gildan,SHIRT,1.061611374,1.014384921,1.005867971,1.012639767,0.998079693,0.913419913,,,,
B07XVYGY4Z,Gildan,SHIRT,1,1,1.053368913,1,1.024065864,1.037105751,1.017292785,1,1,1
B093121LW9,Gildan,SHIRT,1,1,1,1.006319115,1.016221873,1.05715757,0.924987823,1,1,1
B07CX29FLX,Gildan,SHIRT,0.765606596,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.780141844
B07CX4V3CW,Gildan,SHIRT,0.541666667,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.780141844
B07CWZ1TTK,Gildan,SHIRT,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.873174802,1.145246058
B077ZNDNGT,Gildan,SHIRT,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,1.166666667
B077ZL5935,Gildan,SHIRT,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,1.166666667,0.783571429,1.093892434,0.914166667
B08N5GKM77,Gildan,SWEATSHIRT,1.146024465,1.328218813,0.849824209,1.060283688,0.943143813,1.03250591,0.968517459,1.098699764,0.940290479,0.967963387
B092NPH6GQ,Hanes,SWEATSHIRT,0.94980695,1.052845528,0.97992278,0.988967691,0.909960159,1.177758319,0.950185874,0.949921753,1.208401977,0.980231766
B092MZ6X28,Hanes,SWEATSHIRT,0.9958159,0.957142857,0.988586479,0.98401421,1.020758123,1.247568523,1.008504607,0.957835559,1.006603081,1.003644315
B092NKY9HF,Hanes,SWEATSHIRT,0.929085303,0.994469027,1.695216908,1.17191601,0.953527436,0.957134469,0.998773006,0.9502457,0.996767938,0.924773022
B07KGQDKB5,Hanes,SWEATSHIRT,0.963028169,1.429616088,1.038363171,0.95320197,0.949612403,0.968707483,1.310393258,1.005359057,0.997867804,0.998931624
B07KGTKY9Q,Hanes,SWEATSHIRT,0.982019364,0.995774648,0.984441301,0.992816092,0.986975398,0.98973607,1.447407407,1.026612078,0.928215354,1.133190118
B07KGQ9G46,Hanes,SWEATSHIRT,0.985530547,0.993474715,1.228243021,0.909090909,0.95,0.996904025,1.004658385,1.00309119,1.003081664,1.038402458
B07KGRRP75,Hanes,SWEATSHIRT,0.821888412,1.001305483,0.998696219,0.950391645,0.957417582,1.004304161,0.998571429,1.341917024,0.997867804,0.995726496
B071ZJJG23,Hanes,SWEATSHIRT,1,1,0.48,1.458333333,1,1.428571429,1.310833333,1.017164654,0.87625,0.855920114
B01L8JJLM4,Hanes,SWEATSHIRT,1.49875,0.8882402,1.094835681,0.867066895,0.988130564,0.97997998,1.020429009,1.017017017,0.983267717,0.938938939
B073X2NNNV,Hanes,SWEATSHIRT,1,0.7,1,1.428571429,1,1,1,1,1.262,1.009508716
B07TPQ56F1,Hanes,SWEATSHIRT,1.471764706,0.988009592,1.101941748,0.80763583,0.999090909,0.909008189,1,1.101101101,1,0.908181818
B072MRPK9V,Hanes,SWEATSHIRT,1,1,1,0.706748466,0.991319444,1,1,1.42732049,0.979141104,0.984962406
B07B6RZP4H,KATCHY,PEST_CONTROL_DEVICE,1.052924054,1,1,1.000251319,0.999748744,1.000251319,1,0.999748744,1,1
B002PXW1R0,National Geographic Partners LLC,MAGAZINES,0.6,1.666666667,0.6,1.666666667,0.6,0.75,1.333333333,1.666666667,0.6,1.666666667
1982182911,,ABIS_BOOK,0.809666667,1.235076163,0.749666667,0.867941307,1.152151639,,,,,
B004GVZUUY,"Trusted Media Brands, Inc.",MAGAZINES,1.333333333,0.5,2,0.75,1.333333333,2.796,0.357653791,0.5,2,1.5
B08PDQ41B3,SABRE,SELF_DEFENSE_SPRAY,0.950485437,1.039836568,0.967583497,1.033502538,1.068762279,1.011029412,1.069090909,0.889455782,1.079349904,1.062001771
B00BWF5U0M,SABRENT,MULTIPORT_HUB,1,1.001430615,0.998571429,1.001430615,1.521428571,1.584976526,1,1,1.118483412,1
B099TS4S98,,ABIS_MUSIC,0.85035035,,,,,,,,,
B094T63GRQ,Simple Modern,THERMOS,0.998635744,1,1.00136612,1,1,,,,,
B079RDDVP6,Sparkling ICE,WATER,0.995343423,1.187719298,1.122107336,0.927161036,1.036441079,1.001826484,0.960802188,1.036527514,1.154691076,0.435592549
B07XC6WRJQ,Sparkling ICE,WATER,1.952615992,1.010616785,0.786893447,1.061029879,0.597962852,1.672344689,0.597962852,1.672344689,0.981426004,0.609279609
B00F9VCQ2A,Sparkling ICE,WATER,1,1,1,1,1,1,1,1,1,1
B00GZFYANC,Sparkling ICE,WATER,0.902661064,1,1.107835531,0.902661064,1,1,1,1,1,1
B006FUL4AE,Sparkling ICE,WATER,1.724233983,0.768982229,0.888655462,1.125295508,0.888655462,0.945626478,1,1.0575,0.945626478,1.19
B009S2XFTO,Sparkling ICE,WATER,1.125295508,0.888655462,1,1,0.909377463,1.145580589,1.186838124,0.951561504,0.993971869,0.808625337
B0784DMYGK,Sparkling ICE,WATER,0.995869902,0.78278901,1.277483444,0.622083981,1.570833333,0.932095491,1.025611838,0.837957825,1,1
B00B7JRYIO,Sparkling ICE,WATER,1.09965338,1.125295508,0.888655462,0.945626478,1.0575,0.95429472,1.047894302,1,1,0.945626478
B0788BZXR5,Starbucks,COFFEE,0.342924377,1.006238303,0.992250465,0.990315526,0.756466877,1.066305254,0.749706688,1.250912885,0.932860717,1.07197139
B0944SV7P1,Starbucks,COFFEE,1,0.87211094,1,1,1.081625442,1.10486769,1.014192785,0.892419825,,
B01LS29YE6,Starbucks,COFFEE,0.966966967,1.000776398,1.318076028,0.967628016,0.957420925,1.001905972,0.960684845,0.856105611,0.944487278,1.25877551
B0788BZXR4,Starbucks,COFFEE,0.34591935,1.002782931,0.739438791,0.895746455,1,1,1,1,1,1
B093CJCCJH,TeeTurtle,TOYS_AND_GAMES,1,1,0.987333333,1.012829169,1,0.75,1.656,0.603864734,1.584888889,0.630959058
B07H4HKDG7,TeeTurtle,TOY_FIGURE,1,0.940666667,0.997873848,1.013494318,0.98388227,0.977207977,1.003644315,1.000726216,0.994194485,1.018248175
B06ZY896ZM,ThisWorx for,VACUUM_CLEANER,0.967711599,1,0.988338192,0.982300885,1,1,1.064397731,1,1,1
B095NWYQBC,WYZE,SECURITY_CAMERA,0.939951962,1.063884157,0.99979984,1.0002002,0.993194556,1.006852076,0.995996797,1.001004823,0.998996186,1.004019293
B0998CDM7F,WYZE,SECURITY_CAMERA,1.077021823,0.928486293,1.077021823,0.952562574,0.977727728,0.991809573,1.001290323,0.99871134,1.082580645,0.913468415
B08R59YH7W,WYZE,SECURITY_CAMERA,1.097209156,1,0.856816233,1.100066711,0.909035779,1.022348232,1.076019576,0.909035779,1.013675784,1.085225403
B092K4GWH1,WYZE,CAMERA,1,1,1,1,1,1,0.934869739,1.069667738,0.96492986,1.005192108
B097SNGN1W,,ABIS_DVD,0.620048019,0.966440787,1.034724541,0.096482736,,,,,,
