asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
B07H2V5YLH,Ailun,SCREEN_PROTECTOR,0.9903181189488244,0.835195530726257,0.9983277591973244,1.001675041876047,0.9983277591973244,1.001675041876047,0.9983277591973244,1.0,1.3819095477386936,0.7236363636363636,1.4053601340033501,0.7115613825983313,1.4053601340033501,0.9547079856972587,0.9987515605493134,1.03125,0.9721212121212122,1.0,1.0012468827930174,0.958904109589041,up
B01B8R6PF2,Amazon Basics,BATTERY,1.1262910798122066,0.9491454772822009,1.0,1.0057092665788319,0.9895196506550218,1.0,1.027360988526037,1.0304982817869415,1.0,1.0,1.0,1.0,1.0,0.7336390162567736,1.3630681818181818,1.0,0.8674447686536056,0.8789043728976453,0.9901585565882997,0.9552733296521259,down
B073H7VJ38,Amazon Basics,PAPER_PRODUCT,0.8999165971643036,1.1112140871177016,0.908256880733945,0.9788797061524335,1.124765478424015,0.8507089241034195,0.95,0.9865841073271414,0.8744769874476988,0.8744019138755981,0.9589603283173734,0.9557774607703281,1.0582089552238807,0.9717912552891397,0.969521044992743,0.9940119760479041,0.9939759036144579,0.9666666666666667,0.9921630094043887,0.995260663507109,down
B073H7VJ37,Amazon Basics,PRINT_COPY_PAPER,1.136394635144351,0.9199839967993598,1.0869754294411829,0.9199839967993598,1.0869754294411829,0.9199839967993598,1.0869754294411829,0.9911982396479296,1.0088799192734612,1.0,1.0,1.0,1.0,1.1000200040008001,1.204764502636843,1.114867924528302,0.8969672353100461,1.114867924528302,0.8969672353100461,1.019622641509434,up
B07NVTGRVZ,Amazon Basics,BATTERY,0.26499620349278663,3.773638968481375,0.26499620349278663,1.0859598853868195,1.0263852242744063,0.922879177377892,0.8189415041782729,1.0816326530612246,1.0408805031446542,0.8761329305135952,1.006896551724138,1.154109589041096,0.8635014836795252,1.0378006872852235,1.1291390728476822,1.0410557184750733,1.0450704225352112,0.9191374663072777,1.1055718475073313,0.883289124668435,down
B073H7XMYW,Amazon Basics,PRINT_COPY_PAPER,1.0,0.9847494553376906,1.0154867256637168,0.8940384234501881,1.0090828533451484,1.1084522502744236,1.0,0.9734600911071499,1.0233977619532044,0.9807157057654076,1.023515102371782,0.9734600911071499,1.0272634791454731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,same
B07WKZQX94,Amazon Basics,BATTERY,0.9598373157092018,1.0259533898305084,1.0160041300980898,1.0360772357723578,0.9686120647376165,1.0232911392405064,0.9698169223156853,1.0321428571428573,0.9782501235788433,0.9797877716018191,1.0226921093347086,0.9672213817448311,0.9713242961418144,1.0348899624261942,1.0342323651452283,0.9759277833500501,0.9881808838643371,1.0442017680707227,0.9556772908366534,1.0385617509119334,up
B01CE5CQPA,Amazon Basics,BATTERY,1.0005704506560182,0.999429874572406,0.9977181973759269,1.0022870211549457,0.9977181973759269,1.0022870211549457,0.9988590986879635,1.0011422044545975,,,,,,,,,,,,,up
B07CWD5PX5,Amazon Basics,WASTE_BAG,1.0410539215686274,1.0682754561506769,1.0209366391184573,0.8580679978413384,1.1622641509433962,0.9718614718614719,0.9610244988864143,0.9287369640787949,1.0430442919525889,0.9688995215311005,1.1487654320987655,0.8511552928533047,1.0498737373737375,1.0998196031268792,0.9267359212684527,1.0377581120943953,0.9022171688459352,1.1027095148078134,0.9462857142857143,1.0247584541062802,up
B018FCZKR2,Amazon Basics,INSTRUMENT_PARTS_AND_ACCESSORIES,0.8197781885397413,1.1871476888387824,0.9572649572649573,1.0119047619047619,1.0362745098039217,0.934720908230842,1.0728744939271255,0.9584905660377359,0.9645669291338582,0.9887755102040816,1.3405572755417956,0.9199384141647421,1.087029288702929,0.9230177059276367,0.9165971643035863,1.178343949044586,0.9227799227799228,1.0836820083682008,0.8362934362934363,1.1911357340720221,up
B07B4WD3N8,Amazon Basics,PILLOWCASE,0.7997997997997998,1.0,0.8498122653316645,1.1767304860088366,0.8498122653316645,1.1767304860088366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1251564455569463,,,,,,,up
