name,children,highestRank,productCount
Kindle Store,10,6904397,6444825
Video Shorts,3,164,198633
Apps & Games,2,15380300,735358
Baby Products,2,30198574,3043368
Digital Music,2,9934601,41215628
Toys & Games,2,31692212,7983418
"atio, Lawn & Garden",4,31282589,12725548
Books,3,25591078,82944758
